Date,Revenue,COGS,year,month,total_sessions,total_page_views,avg_bounce_rate,total_refund_amount,total_returned_items,avg_rating,total_reviews,new_customers,total_orders,total_payment_value,total_shipping_fee,total_discount_given,total_items_sold,total_stock_on_hand,avg_fill_rate,total_stockout_days,conversion_rate,aov,rev_per_session,discount_ratio,return_rate,stock_efficiency,sessions_x_conv,price_effect
2012-08-26,4280204.53,3476942.48,2012,8,,,,161977.41999999998,31.0,3.757575757575758,33.0,3.0,164,4280204.53,786.61,0.0,842,26249,0.9449189125295507,699,,26098.8081097561,,0.0,0.03681710213776722,0.03207741247285611,,
2012-08-27,3038895.84,2365260.68,2012,8,,,,81683.89,30.0,3.84375,32.0,5.0,137,3038895.84,636.48,0.0,632,26249,0.9449189125295507,699,,22181.721459854012,,0.0,0.04746835443037975,0.024077107699340926,,
2012-08-28,9508676.62,7439851.59,2012,8,,,,172200.33,32.0,3.4705882352941178,34.0,2.0,391,9508676.62,2223.68,0.0,2016,26249,0.9449189125295507,699,,24318.866035805626,,0.0,0.015873015873015872,0.07680292582574574,,
2012-08-29,9260558.32,7336294.54,2012,8,,,,159355.52,26.0,3.9555555555555557,45.0,1.0,382,9260558.32,1676.78,0.0,2026,26249,0.9449189125295507,699,,24242.299267015707,,0.0,0.012833168805528134,0.07718389271972266,,
2012-08-30,10086534.1,7950911.72,2012,8,,,,175510.40999999997,39.0,4.051282051282051,39.0,3.0,403,10086534.1,1831.47,0.0,2057,26249,0.9449189125295507,699,,25028.6205955335,,0.0,0.018959649975692758,0.07836489009105109,,
2012-08-31,9104678.52,7277460.12,2012,8,,,,115475.02,36.0,3.923076923076923,39.0,8.0,393,9104678.52,2078.56,0.0,1992,26249,0.9449189125295507,699,,23167.120916030533,,0.0,0.018072289156626505,0.07588860528020115,,
2012-09-01,8560208.92,6738335.17,2012,9,,,,232778.57,27.0,3.769230769230769,39.0,2.0,341,8560208.92,1447.83,0.0,1829,27519,0.9500009433962264,636,,25103.251964809384,,0.0,0.014762165117550574,0.06646317090010538,,
2012-09-02,2587099.44,1946097.28,2012,9,,,,144746.47,29.0,4.266666666666667,30.0,3.0,106,2587099.44,421.24,0.0,495,27519,0.9500009433962264,636,,24406.598490566037,,0.0,0.05858585858585859,0.017987572222827864,,
2012-09-03,3865505.01,3063431.08,2012,9,,,,225389.39,34.0,3.657142857142857,35.0,5.0,147,3865505.0100000002,693.73,0.0,752,27519,0.9500009433962264,636,,26295.95244897959,,0.0,0.04521276595744681,0.02732657436680112,,
2012-09-04,3645749.44,2876968.79,2012,9,,,,171376.43,45.0,3.78,50.0,3.0,147,3645749.44,633.54,0.0,672,27519,0.9500009433962264,636,,24801.016598639457,,0.0,0.06696428571428571,0.024419491987354193,,
2012-09-05,2398185.51,1966376.48,2012,9,,,,196717.07,44.0,4.222222222222222,27.0,3.0,87,2398185.5100000002,403.95,0.0,438,27519,0.9500009433962264,636,,27565.35068965517,,0.0,0.1004566210045662,0.015916276027471928,,
2012-09-06,2858227.37,2147909.96,2012,9,,,,82635.49,16.0,3.8529411764705883,34.0,4.0,119,2858227.37,501.3,0.0,636,27519,0.9500009433962264,636,,24018.717394957985,,0.0,0.025157232704402517,0.023111304916603074,,
2012-09-07,3282753.8,2580035.06,2012,9,,,,40420.24,14.0,3.72972972972973,37.0,2.0,139,3282753.8,602.03,0.0,675,27519,0.9500009433962264,636,,23616.93381294964,,0.0,0.02074074074074074,0.024528507576583453,,
2012-09-08,3666204.89,2804001.32,2012,9,,,,79984.97,23.0,4.0,39.0,1.0,130,3666204.89,684.05,0.0,637,27519,0.9500009433962264,636,,28201.576076923076,,0.0,0.03610675039246468,0.02314764344634616,,
2012-09-09,4458501.42,3589475.8,2012,9,,,,126433.06999999999,35.0,3.310344827586207,29.0,5.0,170,4458501.42,768.79,0.0,882,27519,0.9500009433962264,636,,26226.47894117647,,0.0,0.03968253968253968,0.032050583233402374,,
2012-09-10,4548962.79,3517300.88,2012,9,,,,112120.33,38.0,4.068181818181818,44.0,3.0,186,4548962.79,954.27,0.0,969,27519,0.9500009433962264,636,,24456.789193548386,,0.0,0.0392156862745098,0.03521203532105091,,
2012-09-11,4021565.55,3264364.41,2012,9,,,,116393.72,34.0,4.032258064516129,31.0,7.0,129,4021565.55,525.16,0.0,644,27519,0.9500009433962264,636,,31174.926744186047,,0.0,0.052795031055900624,0.023402013154547766,,
2012-09-12,3335978.29,2673690.65,2012,9,,,,133159.78,26.0,3.7083333333333335,24.0,4.0,108,3335978.29,533.6899999999999,0.0,598,27519,0.9500009433962264,636,,30888.68787037037,,0.0,0.043478260869565216,0.021730440786365785,,
2012-09-13,2609609.29,2103806.97,2012,9,,,,168681.59,42.0,3.6774193548387095,31.0,3.0,116,2609609.29,501.34000000000003,0.0,561,27519,0.9500009433962264,636,,22496.63181034483,,0.0,0.0748663101604278,0.02038591518587158,,
2012-09-14,3729228.43,2835412.27,2012,9,,,,96972.84999999999,36.0,4.487804878048781,41.0,5.0,136,3729228.43,464.14,0.0,694,27519,0.9500009433962264,636,,27420.797279411767,,0.0,0.05187319884726225,0.025218939641702097,,
2012-09-15,3605125.64,2849539.9,2012,9,,,,147446.43,41.0,3.880952380952381,42.0,6.0,131,3605125.64,491.45,0.0,723,27519,0.9500009433962264,636,,27520.043053435114,,0.0,0.056708160442600276,0.026272757004251607,,
2012-09-16,4452012.44,3561492.95,2012,9,,,,94477.1,24.0,4.097560975609756,41.0,4.0,174,4452012.44,977.73,0.0,844,27519,0.9500009433962264,636,,25586.2783908046,,0.0,0.02843601895734597,0.030669719103165086,,
2012-09-17,4811788.67,3932069.23,2012,9,,,,105194.93,17.0,3.9166666666666665,48.0,3.0,206,4811788.67,818.72,0.0,1027,27519,0.9500009433962264,636,,23358.197427184467,,0.0,0.016553067185978577,0.03731967004614993,,
2012-09-18,5078878.07,4123200.89,2012,9,,,,203736.07,33.0,3.9375,32.0,1.0,181,5078878.07,877.61,0.0,894,27519,0.9500009433962264,636,,28060.099834254146,,0.0,0.03691275167785235,0.03248664559031941,,
2012-09-19,3680241.62,3014323.76,2012,9,,,,160115.02,40.0,3.8666666666666667,30.0,8.0,147,3680241.62,647.73,0.0,790,27519,0.9500009433962264,636,,25035.657278911567,,0.0,0.05063291139240506,0.02870743849703841,,
2012-09-20,3763143.75,3080273.62,2012,9,,,,97961.8,25.0,4.0,32.0,7.0,159,3763143.75,916.49,0.0,787,27519,0.9500009433962264,636,,23667.57075471698,,0.0,0.03176620076238882,0.02859842290780915,,
2012-09-21,3943768.14,2978697.93,2012,9,,,,99439.05,27.0,3.825,40.0,1.0,148,3943768.14,637.59,0.0,745,27519,0.9500009433962264,636,,26647.082027027027,,0.0,0.036241610738255034,0.027072204658599514,,
2012-09-22,3872374.03,3011266.74,2012,9,,,,212802.95,36.0,3.967741935483871,31.0,3.0,161,3872374.03,986.15,0.0,799,27519,0.9500009433962264,636,,24052.01260869565,,0.0,0.04505632040050062,0.029034485264726188,,
2012-09-23,4118299.54,3294951.2,2012,9,,,,85734.4,19.0,3.914285714285714,35.0,5.0,178,4118299.54,720.4,0.0,838,27519,0.9500009433962264,636,,23136.514269662923,,0.0,0.022673031026252982,0.030451687924706566,,
2012-09-24,5733263.53,4585762.62,2012,9,,,,111658.6,27.0,4.025,40.0,6.0,244,5733263.53,1122.8,0.0,1139,27519,0.9500009433962264,636,,23496.98168032787,,0.0,0.02370500438981563,0.04138958537737563,,
2012-09-25,5639897.53,4502395.62,2012,9,,,,208952.12,38.0,4.09375,32.0,9.0,244,5639897.53,1397.71,0.0,1245,27519,0.9500009433962264,636,,23114.334139344264,,0.0,0.030522088353413655,0.04524146953014281,,
2012-09-26,4592282.59,3670417.04,2012,9,,,,294479.38,49.0,4.166666666666667,36.0,5.0,200,4592282.59,941.91,0.0,954,27519,0.9500009433962264,636,,22961.412949999998,,0.0,0.051362683438155136,0.03466695737490461,,
2012-09-27,7556892.66,6017108.13,2012,9,,,,72123.44,24.0,3.967741935483871,31.0,3.0,349,7556892.66,1984.51,0.0,1744,27519,0.9500009433962264,636,,21652.987564469913,,0.0,0.013761467889908258,0.06337439587194302,,
2012-09-28,4892631.14,3884590.92,2012,9,,,,129061.22,35.0,3.951219512195122,41.0,0.0,216,4892631.14,1027.39,0.0,1107,27519,0.9500009433962264,636,,22651.070092592592,,0.0,0.031616982836495035,0.04022675242559686,,
2012-09-29,5304374.46,4170120.63,2012,9,,,,113451.14,23.0,4.0606060606060606,33.0,3.0,224,5304374.46,1042.43,0.0,1186,27519,0.9500009433962264,636,,23680.243125,,0.0,0.0193929173693086,0.0430974962753007,,
2012-09-30,4694379.86,3812737.52,2012,9,,,,76756.34,22.0,3.9411764705882355,34.0,4.0,196,4694379.86,967.23,0.0,1015,27519,0.9500009433962264,636,,23950.917653061228,,0.0,0.02167487684729064,0.03688360768923289,,
2012-10-01,4752532.1,3764447.04,2012,10,,,,150480.03,30.0,3.9696969696969697,33.0,5.0,205,4752532.1,824.96,0.0,1018,29194,0.9526306636155606,621,,23183.083414634144,,0.0,0.029469548133595286,0.03487017880386381,,
2012-10-02,3233135.78,2566510.62,2012,10,,,,235161.4,39.0,3.896551724137931,29.0,4.0,104,3233135.78,386.71000000000004,0.0,499,29194,0.9526306636155606,621,,31087.844038461535,,0.0,0.0781563126252505,0.01709255326436939,,
2012-10-03,3515132.03,2762823.63,2012,10,,,,116852.15000000001,26.0,4.0,28.0,7.0,108,3515132.03,438.13,0.0,510,29194,0.9526306636155606,621,,32547.518796296295,,0.0,0.050980392156862744,0.017469343015688154,,
2012-10-04,2398137.74,1902425.74,2012,10,,,,94519.42,25.0,4.125,40.0,7.0,77,2398137.7399999998,369.46,0.0,371,29194,0.9526306636155606,621,,31144.645974025978,,0.0,0.0673854447439353,0.012708090703569227,,
2012-10-05,2665953.06,2064899.19,2012,10,,,,316901.88,46.0,3.65,20.0,6.0,101,2665953.06,422.01,0.0,476,29194,0.9526306636155606,621,,26395.574851485148,,0.0,0.09663865546218488,0.016304720147975613,,
2012-10-06,2205266.94,1755004.4,2012,10,,,,132573.29,38.0,3.6857142857142855,35.0,3.0,80,2205266.94,204.53,0.0,388,29194,0.9526306636155606,621,,27565.83675,,0.0,0.0979381443298969,0.013290402137425498,,
2012-10-07,3389598.07,2725469.75,2012,10,,,,126872.85,29.0,4.052631578947368,38.0,3.0,110,3389598.07,520.3,0.0,584,29194,0.9526306636155606,621,,30814.527909090906,,0.0,0.04965753424657534,0.02000411043365075,,
2012-10-08,4037039.45,3285493.04,2012,10,,,,214396.41,41.0,3.9393939393939394,33.0,7.0,142,4037039.45,619.81,0.0,728,29194,0.9526306636155606,621,,28429.855281690143,,0.0,0.05631868131868132,0.024936630814550935,,
2012-10-09,4298675.76,3472700.63,2012,10,,,,209675.35,32.0,3.9583333333333335,24.0,5.0,167,4298675.76,887.28,0.0,820,29194,0.9526306636155606,621,,25740.57341317365,,0.0,0.03902439024390244,0.028087963280126055,,
2012-10-10,3548716.67,2839202.59,2012,10,,,,154778.66,39.0,4.027027027027027,37.0,9.0,131,3548716.67,682.15,0.0,698,29194,0.9526306636155606,621,,27089.440229007632,,0.0,0.055873925501432664,0.023909022401863395,,
2012-10-11,3421490.39,2765374.16,2012,10,,,,48709.74,22.0,4.129032258064516,31.0,6.0,109,3421490.39,453.82,0.0,555,29194,0.9526306636155606,621,,31389.82009174312,,0.0,0.03963963963963964,0.01901075563471946,,
2012-10-12,2380119.87,1830898.15,2012,10,,,,189341.09,32.0,4.352941176470588,34.0,4.0,94,2380119.87,272.39,0.0,495,29194,0.9526306636155606,621,,25320.42414893617,,0.0,0.06464646464646465,0.016955538809344386,,
2012-10-13,2798011.44,2256579.15,2012,10,,,,265916.8,56.0,4.0,23.0,3.0,125,2798011.44,812.14,0.0,591,29194,0.9526306636155606,621,,22384.091519999998,,0.0,0.09475465313028765,0.02024388572994451,,
2012-10-14,3055629.78,2516987.32,2012,10,,,,218556.49,26.0,3.84375,32.0,4.0,116,3055629.78,541.07,0.0,616,29194,0.9526306636155606,621,,26341.636034482755,,0.0,0.04220779220779221,0.02110022607385079,,
2012-10-15,3234517.3,2632811.8,2012,10,,,,51745.84,15.0,4.035714285714286,28.0,2.0,140,3234517.3,720.34,0.0,739,29194,0.9526306636155606,621,,23103.695,,0.0,0.02029769959404601,0.025313420565869698,,
2012-10-16,3549298.21,2763325.25,2012,10,,,,159447.38,43.0,3.9615384615384617,26.0,3.0,152,3549298.21,877.19,0.0,763,29194,0.9526306636155606,621,,23350.646118421053,,0.0,0.0563564875491481,0.02613550729601973,,
2012-10-17,3818048.0,3108682.75,2012,10,,,,146676.63,40.0,4.409090909090909,22.0,4.0,134,3818048.0,426.24,0.0,705,29194,0.9526306636155606,621,,28492.89552238806,,0.0,0.05673758865248227,0.024148797698157157,,
2012-10-18,2909728.89,2301277.14,2012,10,,,,57423.21,19.0,4.1875,16.0,4.0,109,2909728.89,473.62,0.0,551,29194,0.9526306636155606,621,,26694.7604587156,,0.0,0.034482758620689655,0.018873741179694457,,
2012-10-19,2877379.81,2352068.71,2012,10,,,,170350.88,32.0,4.3,20.0,3.0,99,2877379.81,374.04,0.0,499,29194,0.9526306636155606,621,,29064.442525252525,,0.0,0.06412825651302605,0.01709255326436939,,
2012-10-20,3242557.3,2647331.71,2012,10,,,,67994.02,26.0,3.6875,32.0,3.0,106,3242557.3,409.39,0.0,545,29194,0.9526306636155606,621,,30590.163207547168,,0.0,0.047706422018348627,0.01866821949715695,,
2012-10-21,2395609.91,1920246.47,2012,10,,,,235055.52,31.0,3.710526315789474,38.0,2.0,114,2395609.91,689.33,0.0,522,29194,0.9526306636155606,621,,21014.12201754386,,0.0,0.05938697318007663,0.01788038638076317,,
2012-10-22,3596158.34,2873316.18,2012,10,,,,128745.16,38.0,3.6296296296296298,27.0,3.0,142,3596158.34,591.57,0.0,768,29194,0.9526306636155606,621,,25325.058732394366,,0.0,0.049479166666666664,0.026306775364800986,,
2012-10-23,3999141.88,3151858.27,2012,10,,,,118146.61000000002,28.0,3.92,25.0,5.0,170,3999141.88,939.56,0.0,865,29194,0.9526306636155606,621,,23524.363999999998,,0.0,0.03236994219653179,0.029629375899157363,,
2012-10-24,3829179.99,3037851.31,2012,10,,,,125599.1,34.0,3.5806451612903225,31.0,7.0,153,3829179.9899999998,806.58,0.0,774,29194,0.9526306636155606,621,,25027.32019607843,,0.0,0.04392764857881137,0.026512297047338495,,
2012-10-25,3104460.52,2528526.7,2012,10,,,,95760.18,16.0,3.75,28.0,4.0,125,3104460.52,645.11,0.0,633,29194,0.9526306636155606,621,,24835.68416,,0.0,0.02527646129541864,0.021682537507707062,,
2012-10-26,2138927.17,1671777.12,2012,10,,,,85755.38,31.0,3.9310344827586206,29.0,7.0,91,2138927.17,543.41,0.0,460,29194,0.9526306636155606,621,,23504.694175824174,,0.0,0.06739130434782609,0.015756662327875592,,
2012-10-27,2816872.34,2296869.06,2012,10,,,,64950.0,20.0,3.5,30.0,3.0,122,2816872.34,553.55,0.0,689,29194,0.9526306636155606,621,,23089.117540983607,,0.0,0.02902757619738752,0.023600739878057136,,
